iter	MultiRMSEWithMissingValues
0	42.94845639
1	42.80259838
2	42.65774701
3	42.51668303
4	42.37563975
5	42.23478999
6	42.0778676
7	41.94414387
8	41.79457084
9	41.66592686
10	41.51561166
11	41.38953889
12	41.28776475
13	41.15714404
14	41.03317897
15	40.90720246
16	40.76795856
17	40.64716248
18	40.52013832
19	40.4278435
20	40.30582308
21	40.1813747
22	40.07941649
23	39.98847252
24	39.86412603
25	39.75580203
26	39.63605985
27	39.52726353
28	39.41519482
29	39.29644433
30	39.18186087
31	39.0655815
32	38.95940984
33	38.86547008
34	38.78243398
35	38.6998682
36	38.60205668
37	38.50347397
38	38.38730074
39	38.27389235
40	38.17166668
41	38.08095425
42	37.98108484
43	37.90892717
44	37.82899059
45	37.71254104
46	37.61327138
47	37.54160538
48	37.46185119
49	37.35555779
50	37.25876491
51	37.18773333
52	37.08404032
53	36.98664473
54	36.89340608
55	36.80824728
56	36.7202159
57	36.63732342
58	36.56533812
59	36.47579007
60	36.39463695
61	36.29593485
62	36.20691506
63	36.12242948
64	36.05459197
65	35.96114645
66	35.88393642
67	35.80561
68	35.72660047
69	35.63630713
70	35.56985215
71	35.48340177
72	35.39871248
73	35.3261919
74	35.24886808
75	35.1738037
76	35.12213047
77	35.04102182
78	34.98583945
79	34.92261647
80	34.83770247
81	34.77805307
82	34.72229621
83	34.65042451
84	34.58669254
85	34.5192745
86	34.46862222
87	34.41433
88	34.33910112
89	34.26291522
90	34.22449824
91	34.16068064
92	34.10131825
93	34.04841878
94	33.99310975
95	33.93712616
96	33.86835095
97	33.82129011
98	33.75325899
99	33.70696778
100	33.64147363
101	33.58465255
102	33.5339307
103	33.48025992
104	33.42265977
105	33.38881162
106	33.32887762
107	33.28406371
108	33.2414397
109	33.18299437
110	33.12805919
111	33.08806515
112	33.03096891
113	32.97488153
114	32.92401557
115	32.8772667
116	32.83585904
117	32.77841086
118	32.7479836
119	32.70073481
120	32.64389757
121	32.60868501
122	32.56700062
123	32.51691965
124	32.47456583
125	32.42607237
126	32.3720958
127	32.33446453
128	32.29748539
129	32.26198077
130	32.20534596
131	32.16046548
132	32.11366801
133	32.07492005
134	32.03156447
135	31.98634901
136	31.94346409
137	31.90501169
138	31.87308946
139	31.84435766
140	31.79950553
141	31.76533639
142	31.73187039
143	31.69851824
144	31.66223108
145	31.63262819
146	31.59234722
147	31.55981479
148	31.51500039
149	31.48370807
150	31.45145853
151	31.41198801
152	31.38860625
153	31.35399463
154	31.32409463
155	31.29212877
156	31.24875122
157	31.22474411
158	31.18972896
159	31.15616205
160	31.11636881
161	31.09202726
162	31.0650456
163	31.02217347
164	30.98598222
165	30.95012898
166	30.92425922
167	30.88930125
168	30.85597272
169	30.82628539
170	30.80506146
171	30.77030534
172	30.74063313
173	30.70316325
174	30.67797744
175	30.65245021
176	30.61305994
177	30.58743736
178	30.56472508
179	30.52585331
180	30.4915759
181	30.45815193
182	30.4328523
183	30.40030028
184	30.37906026
185	30.35112763
186	30.32190182
187	30.29234959
188	30.267982
189	30.23974474
190	30.21204475
191	30.18537818
192	30.16689065
193	30.14222916
194	30.12070545
195	30.09132685
196	30.05488072
197	30.02693005
198	30.00087779
