iter	Passed	Remaining
0	57	5734
1	58	2889
2	59	1939
3	61	1466
4	62	1179
5	63	987
6	63	849
7	64	746
8	65	665
9	66	600
10	67	547
11	67	497
12	68	460
13	69	427
14	70	399
15	71	373
16	71	351
17	72	331
18	73	313
19	74	297
20	75	283
21	76	269
22	76	257
23	77	246
24	78	235
25	79	225
26	80	216
27	80	208
28	81	200
29	82	192
30	83	185
31	84	179
32	85	172
33	85	166
34	86	161
35	87	155
36	88	150
37	89	145
38	89	140
39	90	135
40	91	131
41	92	127
42	92	123
43	93	119
44	94	115
45	95	111
46	95	108
47	96	104
48	97	101
49	98	98
50	99	95
51	99	92
52	100	89
53	101	86
54	102	83
55	102	80
56	103	78
57	104	75
58	105	73
59	106	70
60	106	68
61	107	65
62	108	63
63	108	61
64	109	59
65	110	56
66	111	54
67	112	52
68	112	50
69	113	48
70	114	46
71	115	44
72	116	42
73	116	41
74	117	39
75	118	37
76	119	35
77	120	33
78	120	32
79	121	30
80	122	28
81	123	27
82	124	25
83	124	23
84	125	22
85	126	20
86	127	19
87	128	17
88	128	15
89	129	14
90	130	12
91	131	11
92	132	9
93	133	8
94	133	7
95	134	5
96	135	4
97	136	2
98	136	1
99	137	0
