classifier,score,time
SVC,0.961,0.20863008499145508
SGDClassifier,0.9525,0.009540796279907227
RidgeClassifierCV,0.935,0.33417510986328125
RidgeClassifier,0.9355,0.03321480751037598
Perceptron,0.9455,0.004550933837890625
PassiveAggressiveClassifier,0.943,0.00919198989868164
LogisticRegressionCV,0.957,0.1690080165863037
LogisticRegression,0.958,0.04124736785888672
LinearSVC,0.9585,0.005316972732543945
RandomForestClassifier,0.968,0.3938159942626953
HistGradientBoostingClassifier,0.9665,0.5500390529632568
GradientBoostingClassifier,0.9665,0.4826350212097168
ExtraTreesClassifier,0.9645,0.23711109161376953
AdaBoostClassifier,0.967,0.2549748420715332
XGBClassifier,0.9595,0.0719749927520752
LGBMClassifier,0.9665,0.39185380935668945
CatBoostClassifier,0.968,0.20946502685546875
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.9545,0.0009961128234863281
NearestCentroid,0.8985,0.0010790824890136719
QuadraticDiscriminantAnalysis,0.358,0.016622066497802734
LinearDiscriminantAnalysis,0.9545,0.02967095375061035
GaussianNB,0.7475,0.0023801326751708984
BernoulliNB,0.9185,0.2197422981262207
MLPClassifier,0.9675,9.257403135299683
ExtraTreeClassifier,0.93,0.002933025360107422
DecisionTreeClassifier,0.9595,0.016190290451049805
LabelSpreading,0.949,1.1152970790863037
LabelPropagation,0.95,0.5919711589813232
DummyClassifier,0.9175,0.0002760887145996094
