classifier,score,time
SVC,0.9090909090909091,0.0015690326690673828
SGDClassifier,0.8727272727272727,0.0008089542388916016
RidgeClassifierCV,0.9818181818181818,0.23222589492797852
RidgeClassifier,0.9818181818181818,0.039784908294677734
Perceptron,0.9090909090909091,0.0026819705963134766
PassiveAggressiveClassifier,0.9636363636363636,0.0020189285278320312
LogisticRegressionCV,0.9636363636363636,0.10118913650512695
LogisticRegression,0.9454545454545454,0.0046122074127197266
LinearSVC,0.9636363636363636,0.0009310245513916016
RandomForestClassifier,1.0,0.06667780876159668
HistGradientBoostingClassifier,1.0,0.08275485038757324
GradientBoostingClassifier,1.0,0.026921987533569336
ExtraTreesClassifier,0.9272727272727272,0.037009239196777344
AdaBoostClassifier,1.0,0.0019528865814208984
XGBClassifier,1.0,0.03515315055847168
LGBMClassifier,,
CatBoostClassifier,1.0,0.17377996444702148
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.8727272727272727,0.0006101131439208984
NearestCentroid,0.8181818181818182,0.0005960464477539062
QuadraticDiscriminantAnalysis,0.8363636363636363,0.04850411415100098
LinearDiscriminantAnalysis,0.9818181818181818,0.27040910720825195
GaussianNB,0.7818181818181819,0.0019822120666503906
BernoulliNB,0.8181818181818182,0.0019698143005371094
MLPClassifier,0.9454545454545454,0.6538348197937012
ExtraTreeClassifier,0.8,0.0007038116455078125
DecisionTreeClassifier,1.0,0.0006241798400878906
LabelSpreading,0.8909090909090909,0.003371000289916992
LabelPropagation,0.8909090909090909,0.003450155258178711
DummyClassifier,0.6,0.0002460479736328125
