classifier,score,time
SVC,0.8695652173913043,0.006558895111083984
SGDClassifier,0.8260869565217391,0.0017006397247314453
RidgeClassifierCV,0.8695652173913043,0.10626602172851562
RidgeClassifier,0.8695652173913043,0.014847993850708008
Perceptron,0.6902173913043478,0.0010907649993896484
PassiveAggressiveClassifier,0.8206521739130435,0.0009810924530029297
LogisticRegressionCV,0.8641304347826086,0.27559876441955566
LogisticRegression,0.8586956521739131,0.02739405632019043
LinearSVC,0.8695652173913043,0.003505706787109375
RandomForestClassifier,0.875,0.1273810863494873
HistGradientBoostingClassifier,0.8804347826086957,0.6103579998016357
GradientBoostingClassifier,0.8858695652173914,0.0867459774017334
ExtraTreesClassifier,0.8586956521739131,0.05584001541137695
AdaBoostClassifier,0.8695652173913043,0.0715479850769043
XGBClassifier,0.8695652173913043,0.061817169189453125
LGBMClassifier,0.875,0.35348987579345703
CatBoostClassifier,0.875,0.16321086883544922
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.8532608695652174,0.0004992485046386719
NearestCentroid,0.8641304347826086,0.0005409717559814453
QuadraticDiscriminantAnalysis,0.8315217391304348,0.0017080307006835938
LinearDiscriminantAnalysis,0.875,0.02553582191467285
GaussianNB,0.8804347826086957,0.0006520748138427734
BernoulliNB,0.8695652173913043,0.0008320808410644531
MLPClassifier,0.8586956521739131,2.751361131668091
ExtraTreeClassifier,0.782608695652174,0.0008180141448974609
DecisionTreeClassifier,0.8586956521739131,0.0022051334381103516
LabelSpreading,0.8478260869565217,0.01850605010986328
LabelPropagation,0.8478260869565217,0.0051419734954833984
DummyClassifier,0.5489130434782609,0.0001049041748046875
