classifier,score,time
SVC,0.7868852459016393,0.0018150806427001953
SGDClassifier,0.7540983606557377,0.0010728836059570312
RidgeClassifierCV,0.8032786885245902,0.0015320777893066406
RidgeClassifier,0.819672131147541,0.0009250640869140625
Perceptron,0.7704918032786885,0.0007638931274414062
PassiveAggressiveClassifier,0.7540983606557377,0.0007612705230712891
LogisticRegressionCV,0.7868852459016393,0.033080101013183594
LogisticRegression,0.819672131147541,0.0014348030090332031
LinearSVC,0.8360655737704918,0.0008342266082763672
RandomForestClassifier,0.7540983606557377,0.05050086975097656
HistGradientBoostingClassifier,0.7540983606557377,0.3148050308227539
GradientBoostingClassifier,0.7377049180327869,0.0531308650970459
ExtraTreesClassifier,0.8032786885245902,0.036810874938964844
AdaBoostClassifier,0.7377049180327869,0.0571751594543457
XGBClassifier,0.7213114754098361,0.07069993019104004
LGBMClassifier,0.7540983606557377,0.17803406715393066
CatBoostClassifier,0.7704918032786885,0.15311312675476074
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.7704918032786885,0.00310516357421875
NearestCentroid,0.7704918032786885,0.0005488395690917969
QuadraticDiscriminantAnalysis,0.7540983606557377,0.0011098384857177734
LinearDiscriminantAnalysis,0.819672131147541,0.0010259151458740234
GaussianNB,0.7540983606557377,0.0005588531494140625
BernoulliNB,0.7377049180327869,0.0007557868957519531
MLPClassifier,0.8360655737704918,0.9557807445526123
ExtraTreeClassifier,0.6229508196721312,0.002718210220336914
DecisionTreeClassifier,0.6721311475409836,0.0034308433532714844
LabelSpreading,0.8032786885245902,0.00764012336730957
LabelPropagation,0.8032786885245902,0.0011909008026123047
DummyClassifier,0.6065573770491803,9.202957153320312e-05
