classifier,score,time
SVC,0.9625,0.0011649131774902344
SGDClassifier,0.9875,0.0009968280792236328
RidgeClassifierCV,0.9625,0.2036590576171875
RidgeClassifier,0.9625,0.03804802894592285
Perceptron,0.975,0.007353067398071289
PassiveAggressiveClassifier,0.9875,0.0010838508605957031
LogisticRegressionCV,1.0,0.1295621395111084
LogisticRegression,0.9625,0.0016150474548339844
LinearSVC,0.9875,0.0008270740509033203
RandomForestClassifier,1.0,0.09723401069641113
HistGradientBoostingClassifier,1.0,0.37187981605529785
GradientBoostingClassifier,1.0,0.06326603889465332
ExtraTreesClassifier,0.9875,0.03380990028381348
AdaBoostClassifier,0.9875,0.06177401542663574
XGBClassifier,1.0,0.04601025581359863
LGBMClassifier,1.0,0.24427390098571777
CatBoostClassifier,0.9875,0.10546493530273438
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.9625,0.0005469322204589844
NearestCentroid,0.9375,0.0006160736083984375
QuadraticDiscriminantAnalysis,0.9625,0.009291887283325195
LinearDiscriminantAnalysis,0.975,0.26836180686950684
GaussianNB,0.9625,0.0006499290466308594
BernoulliNB,0.95,0.0008230209350585938
MLPClassifier,1.0,0.7731201648712158
ExtraTreeClassifier,0.9375,0.0006508827209472656
DecisionTreeClassifier,0.975,0.0028290748596191406
LabelSpreading,0.95,0.005269050598144531
LabelPropagation,0.95,0.003908872604370117
DummyClassifier,0.6125,0.00025272369384765625
