classifier,score,time
SVC,0.8148148148148148,0.001474142074584961
SGDClassifier,0.7222222222222222,0.0007789134979248047
RidgeClassifierCV,0.8518518518518519,0.0013577938079833984
RidgeClassifier,0.8148148148148148,0.0011682510375976562
Perceptron,0.7592592592592593,0.0008401870727539062
PassiveAggressiveClassifier,0.7962962962962963,0.0007121562957763672
LogisticRegressionCV,0.7962962962962963,0.032380104064941406
LogisticRegression,0.8148148148148148,0.0012967586517333984
LinearSVC,0.7777777777777778,0.0007038116455078125
RandomForestClassifier,0.7592592592592593,0.05012083053588867
HistGradientBoostingClassifier,0.7777777777777778,0.18687176704406738
GradientBoostingClassifier,0.7592592592592593,0.04903006553649902
ExtraTreesClassifier,0.8148148148148148,0.03574800491333008
AdaBoostClassifier,0.7037037037037037,0.055570125579833984
XGBClassifier,0.7777777777777778,0.07031488418579102
LGBMClassifier,0.7777777777777778,0.15732812881469727
CatBoostClassifier,0.7962962962962963,0.15003108978271484
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.8518518518518519,0.0014319419860839844
NearestCentroid,0.8333333333333334,0.0006341934204101562
QuadraticDiscriminantAnalysis,0.7037037037037037,0.0016088485717773438
LinearDiscriminantAnalysis,0.7962962962962963,0.0009629726409912109
GaussianNB,0.8333333333333334,0.0005588531494140625
BernoulliNB,0.8148148148148148,0.0007309913635253906
MLPClassifier,0.7962962962962963,0.7020900249481201
ExtraTreeClassifier,0.7407407407407407,0.0011730194091796875
DecisionTreeClassifier,0.7037037037037037,0.0009448528289794922
LabelSpreading,0.7592592592592593,0.0012469291687011719
LabelPropagation,0.7592592592592593,0.0014820098876953125
DummyClassifier,0.5925925925925926,0.0002689361572265625
