classifier,score,time
SVC,0.7592592592592593,0.001477956771850586
SGDClassifier,0.7222222222222222,0.0008769035339355469
RidgeClassifierCV,0.7777777777777778,0.0013051033020019531
RidgeClassifier,0.8148148148148148,0.0008299350738525391
Perceptron,0.8518518518518519,0.0007441043853759766
PassiveAggressiveClassifier,0.7777777777777778,0.0006608963012695312
LogisticRegressionCV,0.7777777777777778,0.02937602996826172
LogisticRegression,0.8333333333333334,0.0010991096496582031
LinearSVC,0.8333333333333334,0.0007250308990478516
RandomForestClassifier,0.8333333333333334,0.04519510269165039
HistGradientBoostingClassifier,0.7962962962962963,0.1784191131591797
GradientBoostingClassifier,0.8333333333333334,0.04916095733642578
ExtraTreesClassifier,0.7962962962962963,0.03577709197998047
AdaBoostClassifier,0.7407407407407407,0.05617690086364746
XGBClassifier,0.7592592592592593,0.06396913528442383
LGBMClassifier,0.8148148148148148,0.1651749610900879
CatBoostClassifier,0.7777777777777778,0.1546800136566162
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.7592592592592593,0.0007097721099853516
NearestCentroid,0.7407407407407407,0.0005807876586914062
QuadraticDiscriminantAnalysis,0.8148148148148148,0.0016508102416992188
LinearDiscriminantAnalysis,0.8518518518518519,0.002782106399536133
GaussianNB,0.8333333333333334,0.0017189979553222656
BernoulliNB,0.7407407407407407,0.0008368492126464844
MLPClassifier,0.8333333333333334,0.7073309421539307
ExtraTreeClassifier,0.7407407407407407,0.0006227493286132812
DecisionTreeClassifier,0.7222222222222222,0.0009009838104248047
LabelSpreading,0.7222222222222222,0.0013189315795898438
LabelPropagation,0.7222222222222222,0.00298309326171875
DummyClassifier,0.6111111111111112,0.00023603439331054688
