classifier,score,time
SVC,0.9090909090909091,0.0021238327026367188
SGDClassifier,0.9090909090909091,0.001007080078125
RidgeClassifierCV,0.9090909090909091,0.2125110626220703
RidgeClassifier,0.9090909090909091,0.0698099136352539
Perceptron,0.922077922077922,0.0010402202606201172
PassiveAggressiveClassifier,0.9090909090909091,0.026288986206054688
LogisticRegressionCV,0.9090909090909091,0.2852139472961426
LogisticRegression,0.922077922077922,0.0016782283782958984
LinearSVC,0.9090909090909091,0.0008611679077148438
RandomForestClassifier,0.922077922077922,0.07457089424133301
HistGradientBoostingClassifier,0.9090909090909091,0.2757720947265625
GradientBoostingClassifier,0.922077922077922,0.04878973960876465
ExtraTreesClassifier,0.922077922077922,0.034815311431884766
AdaBoostClassifier,0.922077922077922,0.05715012550354004
XGBClassifier,0.935064935064935,0.06023573875427246
LGBMClassifier,0.935064935064935,0.23752117156982422
CatBoostClassifier,0.935064935064935,0.15650701522827148
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.8961038961038961,0.0015828609466552734
NearestCentroid,0.8831168831168831,0.0005750656127929688
QuadraticDiscriminantAnalysis,0.8961038961038961,0.020886898040771484
LinearDiscriminantAnalysis,0.9090909090909091,0.2704792022705078
GaussianNB,0.8701298701298701,0.0007469654083251953
BernoulliNB,0.8831168831168831,0.0009937286376953125
MLPClassifier,0.8961038961038961,0.5831561088562012
ExtraTreeClassifier,0.922077922077922,0.0006740093231201172
DecisionTreeClassifier,0.922077922077922,0.00080108642578125
LabelSpreading,0.9090909090909091,0.0017979145050048828
LabelPropagation,0.9090909090909091,0.0012137889862060547
DummyClassifier,0.7012987012987013,8.606910705566406e-05
