classifier,score,time
SVC,0.8524590163934426,0.0017621517181396484
SGDClassifier,0.8032786885245902,0.0009217262268066406
RidgeClassifierCV,0.8688524590163934,0.0013580322265625
RidgeClassifier,0.8852459016393442,0.0008778572082519531
Perceptron,0.819672131147541,0.0007109642028808594
PassiveAggressiveClassifier,0.8032786885245902,0.0006847381591796875
LogisticRegressionCV,0.819672131147541,0.029865026473999023
LogisticRegression,0.819672131147541,0.0013611316680908203
LinearSVC,0.8688524590163934,0.0007650852203369141
RandomForestClassifier,0.7868852459016393,0.046000003814697266
HistGradientBoostingClassifier,0.7704918032786885,0.20764589309692383
GradientBoostingClassifier,0.7704918032786885,0.05167818069458008
ExtraTreesClassifier,0.819672131147541,0.03707098960876465
AdaBoostClassifier,0.819672131147541,0.05618596076965332
XGBClassifier,0.7213114754098361,0.06810903549194336
LGBMClassifier,0.7377049180327869,0.18362188339233398
CatBoostClassifier,0.7540983606557377,0.15443205833435059
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.8360655737704918,0.001558065414428711
NearestCentroid,0.8032786885245902,0.0004832744598388672
QuadraticDiscriminantAnalysis,0.5901639344262295,0.0015528202056884766
LinearDiscriminantAnalysis,0.8688524590163934,0.0010256767272949219
GaussianNB,0.7377049180327869,0.0005600452423095703
BernoulliNB,0.8032786885245902,0.0007560253143310547
MLPClassifier,0.8360655737704918,0.5451111793518066
ExtraTreeClassifier,0.639344262295082,0.0018050670623779297
DecisionTreeClassifier,0.7049180327868853,0.0014219284057617188
LabelSpreading,0.7868852459016393,0.001461029052734375
LabelPropagation,0.7868852459016393,0.0009260177612304688
DummyClassifier,0.5081967213114754,8.702278137207031e-05
