classifier,score,time
SVC,0.819672131147541,0.0016827583312988281
SGDClassifier,0.7704918032786885,0.0008881092071533203
RidgeClassifierCV,0.819672131147541,0.0013010501861572266
RidgeClassifier,0.819672131147541,0.0008368492126464844
Perceptron,0.8032786885245902,0.0006639957427978516
PassiveAggressiveClassifier,0.7540983606557377,0.000576019287109375
LogisticRegressionCV,0.819672131147541,0.02910327911376953
LogisticRegression,0.819672131147541,0.0014510154724121094
LinearSVC,0.8360655737704918,0.0006997585296630859
RandomForestClassifier,0.7868852459016393,0.04539322853088379
HistGradientBoostingClassifier,0.7704918032786885,0.2065715789794922
GradientBoostingClassifier,0.7377049180327869,0.05188488960266113
ExtraTreesClassifier,0.8032786885245902,0.0376582145690918
AdaBoostClassifier,0.7704918032786885,0.05633997917175293
XGBClassifier,0.8032786885245902,0.06408405303955078
LGBMClassifier,0.7377049180327869,0.18750524520874023
CatBoostClassifier,0.8360655737704918,0.15986990928649902
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.8524590163934426,0.001462697982788086
NearestCentroid,0.819672131147541,0.0005450248718261719
QuadraticDiscriminantAnalysis,0.6557377049180327,0.0016078948974609375
LinearDiscriminantAnalysis,0.819672131147541,0.001010894775390625
GaussianNB,0.8032786885245902,0.0005590915679931641
BernoulliNB,0.7868852459016393,0.0007379055023193359
MLPClassifier,0.8032786885245902,1.044538974761963
ExtraTreeClassifier,0.7704918032786885,0.0006432533264160156
DecisionTreeClassifier,0.6885245901639344,0.001009225845336914
LabelSpreading,0.7704918032786885,0.0013637542724609375
LabelPropagation,0.7704918032786885,0.0008800029754638672
DummyClassifier,0.4918032786885246,9.083747863769531e-05
