classifier,score,time
SVC,0.8361344537815126,0.012181997299194336
SGDClassifier,0.819327731092437,0.0027551651000976562
RidgeClassifierCV,0.8067226890756303,0.02659893035888672
RidgeClassifier,0.8067226890756303,0.0053098201751708984
Perceptron,0.6428571428571429,0.0009591579437255859
PassiveAggressiveClassifier,0.7773109243697479,0.001592874526977539
LogisticRegressionCV,0.819327731092437,0.36162900924682617
LogisticRegression,0.8151260504201681,0.011940956115722656
LinearSVC,0.8109243697478992,0.005150794982910156
RandomForestClassifier,0.8991596638655462,0.10590720176696777
HistGradientBoostingClassifier,0.8949579831932774,0.6254792213439941
GradientBoostingClassifier,0.865546218487395,0.10398316383361816
ExtraTreesClassifier,0.9033613445378151,0.05955624580383301
AdaBoostClassifier,0.7899159663865546,0.07697510719299316
XGBClassifier,0.8991596638655462,0.06066775321960449
LGBMClassifier,0.8907563025210085,0.3724379539489746
CatBoostClassifier,0.8907563025210085,0.19824624061584473
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.8613445378151261,0.0014679431915283203
NearestCentroid,0.8235294117647058,0.0006122589111328125
QuadraticDiscriminantAnalysis,0.5798319327731093,0.0028569698333740234
LinearDiscriminantAnalysis,0.8067226890756303,0.0611119270324707
GaussianNB,0.8025210084033614,0.00185394287109375
BernoulliNB,0.8151260504201681,0.0024437904357910156
MLPClassifier,0.8487394957983193,2.8760440349578857
ExtraTreeClassifier,0.8361344537815126,0.0008738040924072266
DecisionTreeClassifier,0.8403361344537815,0.0035130977630615234
LabelSpreading,0.8697478991596639,0.021320104598999023
LabelPropagation,0.8739495798319328,0.01344919204711914
DummyClassifier,0.5462184873949579,0.00011587142944335938
