classifier,score,time
SVC,0.8333333333333334,0.0016901493072509766
SGDClassifier,0.7833333333333333,0.0009500980377197266
RidgeClassifierCV,0.85,0.0012938976287841797
RidgeClassifier,0.85,0.0008418560028076172
Perceptron,0.7666666666666667,0.0007207393646240234
PassiveAggressiveClassifier,0.8333333333333334,0.0006961822509765625
LogisticRegressionCV,0.8333333333333334,0.02898097038269043
LogisticRegression,0.85,0.0012629032135009766
LinearSVC,0.85,0.0007307529449462891
RandomForestClassifier,0.8666666666666667,0.04652285575866699
HistGradientBoostingClassifier,0.8333333333333334,0.2398850917816162
GradientBoostingClassifier,0.8333333333333334,0.05173230171203613
ExtraTreesClassifier,0.8666666666666667,0.037078857421875
AdaBoostClassifier,0.8833333333333333,0.055552005767822266
XGBClassifier,0.8833333333333333,0.07309198379516602
LGBMClassifier,0.8666666666666667,0.1593461036682129
CatBoostClassifier,0.8833333333333333,0.15083026885986328
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.8333333333333334,0.0016560554504394531
NearestCentroid,0.8666666666666667,0.0005071163177490234
QuadraticDiscriminantAnalysis,0.6833333333333333,0.001001119613647461
LinearDiscriminantAnalysis,0.8333333333333334,0.0009548664093017578
GaussianNB,0.85,0.0005457401275634766
BernoulliNB,0.8666666666666667,0.0007350444793701172
MLPClassifier,0.8333333333333334,1.0092449188232422
ExtraTreeClassifier,0.8333333333333334,0.0017421245574951172
DecisionTreeClassifier,0.8166666666666667,0.0010802745819091797
LabelSpreading,0.8166666666666667,0.0013377666473388672
LabelPropagation,0.8166666666666667,0.0008730888366699219
DummyClassifier,0.5,8.487701416015625e-05
