classifier,score,time
SVC,0.9551219512195122,0.016492605209350586
SGDClassifier,0.8809756097560976,0.010532140731811523
RidgeClassifierCV,0.8692682926829268,0.3212096691131592
RidgeClassifier,0.8692682926829268,0.07776880264282227
Perceptron,0.8390243902439024,0.003551959991455078
PassiveAggressiveClassifier,0.8165853658536585,0.002064943313598633
LogisticRegressionCV,0.8751219512195122,0.11139583587646484
LogisticRegression,0.8780487804878049,0.007946014404296875
LinearSVC,0.8682926829268293,0.00621485710144043
RandomForestClassifier,1.0,0.10776686668395996
HistGradientBoostingClassifier,1.0,0.7316462993621826
GradientBoostingClassifier,0.9931707317073171,0.11129498481750488
ExtraTreesClassifier,1.0,0.05574512481689453
AdaBoostClassifier,0.935609756097561,0.08152604103088379
XGBClassifier,1.0,0.0667579174041748
LGBMClassifier,1.0,0.380429744720459
CatBoostClassifier,1.0,0.19498205184936523
RadiusNeighborsClassifier,1.0,0.0007452964782714844
KNeighborsClassifier,1.0,0.001699209213256836
NearestCentroid,0.8185365853658536,0.0006532669067382812
QuadraticDiscriminantAnalysis,0.7902439024390244,0.1689150333404541
LinearDiscriminantAnalysis,0.8692682926829268,0.2699251174926758
GaussianNB,0.848780487804878,0.0028748512268066406
BernoulliNB,0.8439024390243902,0.003094911575317383
MLPClassifier,1.0,1.4920260906219482
GaussianProcessClassifier,0.9960975609756098,4.573024034500122
ExtraTreeClassifier,1.0,0.002370119094848633
DecisionTreeClassifier,1.0,0.005001068115234375
LabelSpreading,1.0,0.0721123218536377
LabelPropagation,1.0,0.007559299468994141
DummyClassifier,0.5131707317073171,0.0001277923583984375
